created_at,id,content,like_count,retweet_count
2023-06-29 10:00:47+00:00,1674357234124374017,"#Seamaster 

OMEGA in Mykonos.

Immerse yourself in a mythical setting for a beautiful event, bathed in bold Summer Blue. https://t.co/x9WBZ0nQVg

#OMEGA https://t.co/zWShdwKCaQ",185,18
2023-06-28 11:00:04+00:00,1674009764244738051,"#Seamaster 

Precision at every level.

1200 metres. The Seamaster Ploprof crafted in O-MEGASTEEL, with a sun-brushed dial in OMEGA’s own Summer Blue, the iconic mono-bloc case, and a unique bezel ring in sapphire crystal. https://t.co/Ou59f6KzgH

#OMEGA https://t.co/E1BOGJFbSN",369,34
2023-06-27 13:15:45+00:00,1673681524095434752,"#Seamaster

Precision at every level.

Discover the Seamaster in Summer Blue collection. OMEGA's 7-model celebration of the Seamaster family launched 75 years ago.  https://t.co/x9WBZ0nQVg 

#OMEGA https://t.co/LNGkyYdqPN",510,92
2023-06-26 20:00:41+00:00,1673421040381227015,"#Seamaster

OMEGA in Mykonos. 

Be ready for an unforgettable event on the Aegean island to celebrate OMEGA’s oceangoing icon. 

#OMEGA https://t.co/xLRgrKAwG8",300,26
2023-06-25 18:00:14+00:00,1673028342201700354,"#Seamaster 

Precision at every level.

June 27th. Stay tuned.

#OMEGA https://t.co/RNiy66BlUH",501,60
2023-06-24 15:30:07+00:00,1672628175103221761,"It’s not just the colours that are special. In the Aqua Terra Shades collection, every detail of the dial is given exclusive attention. https://t.co/TwVGFtLdSs

#OMEGA
#AquaTerraShades https://t.co/ogL0wUB6k9",350,23
2023-06-23 15:00:32+00:00,1672258342264209410,"The magic behind the colours. Take a glimpse inside the OMEGA factory to see how we create the dials of the Aqua Terra Shades. https://t.co/TwVGFtLdSs

#OMEGA
#AquaTerraShades https://t.co/JoWk6Oh2QW",246,25
2023-06-22 15:13:43+00:00,1671899272877420544,"It takes many steps of craftsmanship to create the many links of a bracelet. OMEGA has mastered each one from start to finish. https://t.co/TwVGFtLdSs

#OMEGA
#AquaTerraShades https://t.co/uYj6CVUkU4",347,16
2023-06-21 15:15:21+00:00,1671537296506535936,"From a raw piece of material, each OMEGA bracelet is born. See how we create beauty around the wrist in the Aqua Terra Shades collection. https://t.co/TwVGFtLdSs

#OMEGA
#AquaTerraShades https://t.co/0J4rvv46nT",272,24
2023-06-21 12:05:49+00:00,1671489596922777603,"The hands of time. Each one brought to life with genuine savoir-faire. https://t.co/TwVGFtLdSs

#OMEGA
#AquaTerraShades https://t.co/57LyiO1xLV",322,21
2023-06-19 17:05:58+00:00,1670840358186500118,"Crafting the hands of the Aqua Terra Shades collection is a true work of art. Down to every last drop of Super-Luminova.

#OMEGA
#AquaTerraShades https://t.co/aEpDOD8HGu",358,23
2023-06-18 15:00:02+00:00,1670446278122037248,"In the office or after-hours, the Constellation is always in style. https://t.co/74SdvAVkC4

#OMEGA
#OMEGAConstellation
#OMEGAWithLove https://t.co/zBgalyrIh8",513,39
2023-06-17 15:00:04+00:00,1670083896296259584,"The Speedmaster Moonwatch. A legendary watch for pioneering astronauts - and stylish Dads. https://t.co/ynM9hC0far

#OMEGA
#Speedmaster
#OMEGAWithLove https://t.co/QpLuHJd0pC",681,50
2023-06-16 16:30:02+00:00,1669744148893642762,"For Dads who love the classics, the Seamaster Diver is a deep and meaningful gift. https://t.co/WuRkZYVX2z

#OMEGA  
#Seamaster
#OMEGAWithLove https://t.co/HZgCv41GQA",607,44
2023-06-15 16:00:02+00:00,1669374214900445185,"The inspired choice of Diego Boneta: an Aqua Terra Shades Co-Axial Master Chronometer in saffron. https://t.co/iKQkuiCton

@DiegoBoneta 
#OMEGA
#Seamaster
#AquaTerraShades https://t.co/m4SJeeHnZ5",157,13
2023-06-15 12:00:01+00:00,1669313811373776897,"Diego Boneta’s preferred timepiece: the 38 mm Aqua Terra Shades Co-Axial Master Chronometer. https://t.co/iKQkuiCton

#OMEGA
#Seamaster
#AquaTerraShades https://t.co/qBziX47FvI",358,32
2023-06-14 15:00:02+00:00,1668996727553007618,"OMEGA welcomes Diego Boneta as a new friend of the brand. The actor wears an Aqua Terra Shades timepiece in stainless steel, featuring a saffron dial and a Co-Axial Master Chronometer movement. https://t.co/iKQkuiCton

#OMEGA
#Seamaster
#AquaTerraShades 
@DiegoBoneta https://t.co/6DMhK1pS23",126,13
2023-06-10 16:00:03+00:00,1667562278378520578,"#AquaTerraShades: EVERY SHADE OF YOU. Exclusive shots of Zhou Dongyu wearing the Aqua Terra Shades. https://t.co/TwVGFtLdSs

#OMEGA
#Seamaster
#ZhouDongyu https://t.co/zfEoZUO6Og",84,9
2023-06-10 12:00:37+00:00,1667502021165940740,"#AquaTerraShades: EVERY SHADE OF YOU. Behind the scenes of the Aqua Terra Shades campaign, Zhou Dongyu expresses every colour. https://t.co/TwVGFtLdSs

#OMEGA
#Seamaster 
#ZhouDongyu https://t.co/d0crBJLLXg",130,10
2023-06-09 16:00:03+00:00,1667199892039581698,"#AquaTerraShades: EVERY SHADE OF YOU. On set moments with Eddie Redmayne. https://t.co/TwVGFtLdSs

#OMEGA
#Seamaster
#EddieRedmayne https://t.co/bujHbJ9vet",133,27
2023-06-09 12:00:29+00:00,1667139601209671687,"#AquaTerraShades: EVERY SHADE OF YOU. Go behind the camera with Eddie Redmayne for the Aqua Terra Shades campaign. https://t.co/TwVGFtLdSs

#OMEGA
#Seamaster 
#EddieRedmayne https://t.co/nLDhTRnEVF",233,71
2023-06-08 15:00:05+00:00,1666822410035941382,"#AquaTerraShades: EVERY SHADE OF YOU. Our global ambassador Zoë Kravitz in action with the Aqua Terra Shades. https://t.co/TwVGFtLLI0

#OMEGA
#Seamaster https://t.co/gMaU3jvHGX",107,11
2023-06-06 16:36:36+00:00,1666121923464503296,"#AquaTerraShades: EVERY SHADE OF YOU. The director's view. Zoë Kravitz shoots scenes for the Aqua Terra Shades campaign. https://t.co/TwVGFtLdSs

#OMEGA
#Seamaster https://t.co/avvvX2P6PD",162,17
2023-06-03 15:00:01+00:00,1665010455033544707,"The gradient dial of the 45.5 mm Seamaster Ultra Deep in O-MEGASTEEL transitions from grey to black. https://t.co/iA9ejSSg9f

#OMEGA
#OMEGASeamaster https://t.co/DX3B9RC74k",511,42
2023-06-02 15:00:01+00:00,1664648065897070593,"Four Arabic numerals in orange and 18K white gold hands and hour markers. https://t.co/iA9ejSSg9f

#OMEGA
#OMEGASeamaster https://t.co/J8QBALMMDb",549,51
2023-06-01 15:00:02+00:00,1664285684197126145,"A polished orange ceramic bezel with diving scale in liquid ceramic. https://t.co/iA9ejSSg9f

Discover more via link in bio. 

#OMEGA
#OMEGASeamaster https://t.co/ZLLnm1ucZs",464,41
2023-05-31 16:00:02+00:00,1663938395771371523,"Rhodium-plated hands and 18K white gold indexes shaped like sailboat hulls, with iridescent mother-of-pearl inlays. https://t.co/DkRH3a8pV0

#OMEGA
#OMEGASeamaster https://t.co/is6SaxvxzH",393,29
2023-05-31 12:10:02+00:00,1663880513726152704,"The 38 mm Seamaster Aqua Terra in stainless steel presented on a polished and brushed bracelet. https://t.co/DkRH3a8pV0

#OMEGA
#OMEGASeamaster https://t.co/HlHXaG2AG5",376,31
2023-05-30 15:00:03+00:00,1663560912480133134,"A sun-brushed dark green dial with date window and small seconds subdial framed within an 18K white gold ring. https://t.co/DkRH3a8XKy

#OMEGA
#OMEGASeamaster https://t.co/UZziSfXTRu",380,25
2023-05-27 16:16:04+00:00,1662492879099420675,"Get inspired by Jonathan Bailey's choice: the Aqua Terra Shades Co-Axial Master Chronometer. https://t.co/hLxD1CAhmZ

#OMEGA
#Seamaster
#AquaTerraShades 
#JonathanBailey https://t.co/Air9M27FF4",350,47
