id,created_at,content,cleaned_content
1674071369309384707,2023-06-28 15:04:51+00:00,"The first-ever edition of the Richard Mille Cup was a unique cocktail of classic sailing, timeless locations and sp… https://t.co/21NuwhfUVv",the firstever edition of the richard mille cup was a unique cocktail of classic sailing timeless locations and sp… 
1673349294533771265,2023-06-26 15:15:35+00:00,"Anatomy of the RM 72-01 Red Gold. 

#RichardMille https://t.co/DexynZJLwn","anatomy of the rm 7201 red gold 

richardmille "
1672266426164432896,2023-06-23 15:32:39+00:00,"Rare are the objects which, like racing cars, exude a harmonious blend of aerodynamic precision and refined aesthet… https://t.co/J5BjQS83tf",rare are the objects which like racing cars exude a harmonious blend of aerodynamic precision and refined aesthet… 
1671897519180382208,2023-06-22 15:06:45+00:00,"Limited to 150 pieces, the new RM 72-01 Le Mans Classic celebrates the centenary of the legendary 24 Hours of Le Ma… https://t.co/0IJrndgiVg",limited to 150 pieces the new rm 7201 le mans classic celebrates the centenary of the legendary 24 hours of le ma… 
1671535871965777920,2023-06-21 15:09:42+00:00,"Live your passion. Be daring, throw yourself into it, and go beyond your limits. 

The RM 72-01 Le Mans Classic has… https://t.co/vKptwWIHfU","live your passion be daring throw yourself into it and go beyond your limits 

the rm 7201 le mans classic has… "
1658776264511987715,2023-05-17 10:07:34+00:00,"From June 10 to 25, sailing enthusiasts have a date on the Channel for the first edition of the Richard Mille Cup,… https://t.co/90OV1pD6UC",from june 10 to 25 sailing enthusiasts have a date on the channel for the first edition of the richard mille cup… 
1654147039259766787,2023-05-04 15:32:41+00:00,"Anatomy of the RM 74-02.

https://t.co/KY3OFoOALK

#RichardMille #RM7402 https://t.co/chlLWxn0OG","anatomy of the rm 7402



richardmille rm7402 "
1653790751308783618,2023-05-03 15:56:55+00:00,The RM 74-02 is crafted using different innovative materials and advanced manufacturing techniques. The foundations… https://t.co/c992DbTNqu,the rm 7402 is crafted using different innovative materials and advanced manufacturing techniques the foundations… 
1653419597398265861,2023-05-02 15:22:05+00:00,"Anatomy of the RM 74-01.

https://t.co/a9QG8vvTKL

#RichardMille #RM7401 https://t.co/8UMon1mxoq","anatomy of the rm 7401



richardmille rm7401 "
1653034527697039361,2023-05-01 13:51:57+00:00,"Uniquely appealing, technically complex and universal, the RM 74-01 and RM 74-02 offer two unique versions of our i… https://t.co/SLYh8YGGmt",uniquely appealing technically complex and universal the rm 7401 and rm 7402 offer two unique versions of our i… 
1651966404868947970,2023-04-28 15:07:37+00:00,"Combining style, technicity and elegance for all, the in-house designed RM 74-02 is the culmination of thousands of… https://t.co/EBFlAv5BZc",combining style technicity and elegance for all the inhouse designed rm 7402 is the culmination of thousands of… 
1651602408240304128,2023-04-27 15:01:14+00:00,"The RM 74-01 is a true masterpiece of design and clever engineering, combining the latest watchmaking technicity wi… https://t.co/9hK2A6J1lq",the rm 7401 is a true masterpiece of design and clever engineering combining the latest watchmaking technicity wi… 
1651244226020089857,2023-04-26 15:17:56+00:00,"The RM 74-01 and RM 74-02 automatic tourbillons are perfect companions for anyone who appreciates style, performanc… https://t.co/rpFnzzyrPE",the rm 7401 and rm 7402 automatic tourbillons are perfect companions for anyone who appreciates style performanc… 
1649072845845151746,2023-04-20 15:29:39+00:00,"Anatomy of the RM 07-04 Sport 
Perfectly adapted to the constraints of our female partners' various disciplines, th… https://t.co/JxnqoRQJog","anatomy of the rm 0704 sport 
perfectly adapted to the constraints of our female partners various disciplines th… "
1648345469485981696,2023-04-18 15:19:19+00:00,We are delighted that @Thejessicakorda is joining her younger sister @NellyKorda and brother Sebastian Korda among… https://t.co/uC0yrhbOzn,we are delighted that thejessicakorda is joining her younger sister nellykorda and brother sebastian korda among… 
1648002907629821961,2023-04-17 16:38:06+00:00,"A day to remember for @LWadouxD44. 
Her first-ever WEC podium at the FIA WEC 6 Hours of Portimão in Portugal, less… https://t.co/94bluHf9BD","a day to remember for lwadouxd44 
her firstever wec podium at the fia wec 6 hours of portimão in portugal less… "
1647992884203798531,2023-04-17 15:58:16+00:00,"Birthday boy. 
Congratulations to @RGrosjean  for his first top three finish of the season in @IndyCar at the Long… https://t.co/ZY6guqVD5y","birthday boy 
congratulations to rgrosjean  for his first top three finish of the season in indycar at the long… "
1637845177598455809,2023-03-20 15:54:54+00:00,"Capping off an unforgettable season.
 @7ohannesb0  wins a record 19th victory of the campaign and a fourth Crystal… https://t.co/nHI8nqdpPg","capping off an unforgettable season
 7ohannesb0  wins a record 19th victory of the campaign and a fourth crystal… "
1635246944024154113,2023-03-13 11:50:27+00:00,"A night to remember.
@myeoh_official  wins Best Actress @TheAcademy  awards 2023 for her leading performance in… https://t.co/cdz8lNdet8","a night to remember
myeohofficial  wins best actress theacademy  awards 2023 for her leading performance in… "
1632329890488778752,2023-03-05 10:39:07+00:00,"Simply the best. 
@thiam_nafi faced off stiff competition to set a new pentathlon World Record at the European indo… https://t.co/jOaylNZpq7","simply the best 
thiamnafi faced off stiff competition to set a new pentathlon world record at the european indo… "
1630975168561414161,2023-03-01 16:55:56+00:00,"The RM 07-04 required three years of development because of many challenges: developing a new, very compact and ske… https://t.co/nnUwbPtMoJ",the rm 0704 required three years of development because of many challenges developing a new very compact and ske… 
