created_at,id,content,like_count,retweet_count
2023-06-27 14:00:22+00:00,1673692751055994880,"A watch’s autonomy is not just a promise, it is a pact that works both ways. Whether yours or its own, movement will always beget movement. Discover more https://t.co/JoeOwpDTZE #Watchmaking #Perpetual https://t.co/QSGxZaXoCv",428,55
2023-06-27 10:00:08+00:00,1673632297231237120,"This year marks the 10th anniversary of the #RolexGrandSlam of Show Jumping. And no better place to begin celebrations than at the #CHIOAachen, launchpad for the sport’s most coveted prize and a reference point for all equestrian events. More https://t.co/XZZpxyZfrK #Perpetual https://t.co/PuPKlCkjXn",140,18
2023-06-26 12:00:22+00:00,1673300165921316870,"As a @MissionBlue Hope Spot Champion, Sandra Bessudo’s goal is to conserve the marine ecosystems around Malpelo Island. She currently works to create additional “swimways” to protect migrating species travelling through the oceans. More on https://t.co/XdVwa96M4E #PerpetualPlanet https://t.co/t9g8U14M1o",275,36
2023-06-25 08:00:03+00:00,1672877299396407296,"At this week’s Lindau Nobel Laureate Meeting, #RolexAwards for Enterprise winner Grégoire Courtine and Nobel Laureate Randy W. Schekman will discuss harnessing excellence in science for society. We support this event to foster generational exchange. #LIN023 #Perpetual https://t.co/OUrqrgSGsb",211,23
2023-06-22 11:30:27+00:00,1671843083539959811,"The waters around Malpelo Island in the Pacific Ocean are teeming with life. Sandra Bessudo, @MissionBlue Hope Spot Champion, runs expeditions to study the island’s marine species to help protect its incredible ecosystems. More on https://t.co/liyPsiOG9e #PerpetualPlanet https://t.co/WnOCNGWt5S",337,40
2023-06-20 14:00:06+00:00,1671155969236299778,"'Werther', Massenet's great opera of passion, premiers today at the @RoyalOperaHouse with @tenorkaufmann in the title role, conducted by Sir Antonio Pappano. All are partners in our #PerpetualArts Initiative that supports excellence and contributes to global culture. #RolexFamily https://t.co/JI4TyNAksa",140,16
2023-06-19 15:00:20+00:00,1670808740713431042,"Whatever the conditions, the #Submariner’s Cerachrom bezel insert remains functional and reliable. Made from a hard, corrosion-resistant ceramic, it is virtually scratchproof and its colour unaffected by ultraviolet rays or seawater. More https://t.co/0txdqJs1R9 #Perpetual https://t.co/T0Y62nSt9c",952,89
2023-06-19 02:01:11+00:00,1670612659127873538,We thank the @usopengolf for bringing us another remarkable championship. The iconic surroundings of The Los Angeles Country Club bore witness to an incredible weekend of golf. #USOpen #Perpetual https://t.co/6fsl8CO9Tw,264,36
2023-06-16 20:00:27+00:00,1669797104322002945,"Season 4 of @SailGP starts today in Chicago with 10 national teams contesting the Rolex United States Sail Grand Prix on Lake Michigan. This exciting global competition champions innovation, sustainability and inclusivity. More on https://t.co/aCNwEo8P8N #SailGP #Perpetual https://t.co/PXATKlwyV5",274,63
2023-06-16 14:00:22+00:00,1669706485440413696,The Paraflex bends to disperse energy before returning to its original shape then displacing itself to ensure the workings of the balance wheel and escapement anchor – preserving the watch’s movement with its own. Discover more https://t.co/cUfDNlpCAN #Watchmaking #Perpetual https://t.co/Km0AlUMdhv,565,68
2023-06-15 12:45:12+00:00,1669325179711901701,"The @usopengolf starts today at the Los Angeles Country Club – the first time a Major has been staged at this stunning venue. At this revered event, accuracy is everything. Success requires precision, consistency and resilience. More https://t.co/4NadCeUHoV #USOpen #Perpetual https://t.co/6i5NHXGYIE",258,45
2023-06-14 10:06:03+00:00,1668922742035435520,"A year ago, with our partner @InsideNatGeo, we launched the #PerpetualPlanet Amazon Expedition. Teams of explorers and scientists have been studying the Amazon’s waterways, from the glacial sources in the Andes to where it meets the Atlantic Ocean. More on https://t.co/7C8ekY9o4G https://t.co/kDNwZ8al6N",262,40
2023-06-11 17:59:01+00:00,1667954603944493056,"The chequered flag has been waved. Rolex thanks the Automobile Club de l’Ouest for another successful edition of the @24hoursoflemans, celebrating a historic 100 years of the oldest and most prestigious endurance race in the world. #RolexFamily #Perpetual https://t.co/muI8B5GpPJ",385,70
2023-06-10 17:46:09+00:00,1667588978751553543,Iga is crowned the champion of clay. Congratulations to @iga_swiatek on winning her third @rolandgarros title. #RolexFamily #RolandGarros #Perpetual https://t.co/OK72yQlDyt,1781,143
2023-06-10 17:02:51+00:00,1667578082214187008,"This exclusive #CosmographDaytona sports a Cerachrom bezel in black ceramic. On the tachymetric scale, the number 100 in red ceramic evokes the 24 Hours of Le Mans centenary. A transparent case back makes the new calibre 4132 visible. More https://t.co/WZewjtc90C #LeMans24 https://t.co/tO4v9fTfkz",2066,243
2023-06-10 15:30:00+00:00,1667554716056956929,Celebrating 100 years of speed. Rolex presents a variant of the Oyster Perpetual Cosmograph Daytona created in honour of the centenary of the 24 Hours of Le Mans endurance motor race. More https://t.co/WZewjtc90C #CosmographDaytona #LeMans24 https://t.co/KcAf6Xb7gl,1491,254
2023-06-10 13:00:20+00:00,1667517052456783872,The @24hoursoflemans starting today is a supreme test of driver stamina and car reliability. The winning drivers of this year’s centenary edition will receive a specially engraved Oyster Perpetual Cosmograph Daytona. More https://t.co/NB7w1JSO1P #LeMans24 #Perpetual https://t.co/R8tuCH1MQ7,492,76
2023-06-09 21:00:04+00:00,1667275389981405187,A large international fleet will contest the #RolexGiraglia 70th anniversary regatta starting today. A coastal race from Sanremo and 3 days of competition in Saint-Tropez culminates with the 241-nautical mile offshore race to Genoa. More https://t.co/yD2NeEibMe #Perpetual https://t.co/4Rb7MQqV2I,324,34
