TimeStamps,Tweets,Replies,reTweets,Likes
2019-03-31T15:05:12.000Z,"Seiko Presage introduces the richest taste in the world with the new “Senbei” Dial model.
“Senbei” is a traditional Japanese rice snack grilled to perfection by the skilled hands of master artisans.

※April Fools’ Day",68,39,127
2019-03-26T05:39:55.000Z,"Prospex collections in BASELWORLD2019.
Seiko Prospex 1968 Diver's Re-creation SLA025 is also on display.

#baselworld #baselworld2019 #seiko #seikowatch #seikowatches #prospex #craftsmanship #diverswatch #gphg #SLA025",8,39,57
2019-03-24T17:13:14.000Z,"The 1969 Quartz Astron 50th Anniversary Limited Edition.
To celebrate the 50th anniversary of Quartz Astron, Seiko is offering a limited edition. The limited model has 50 beautiful facets on its bezel, the case... https://facebook.com/148011855192/posts/10161800134890193/…",3,39,44
2019-03-23T13:34:56.000Z,"Seiko Astron 5X Series Stainless steel models.

This series shares several aspects of the design of the celebrated 1969 Quartz Astron. The case has the same curved silhouette case, the same wider case lugs and a... https://facebook.com/148011855192/posts/10161795852305193/…",5,39,28
2019-03-23T09:18:39.000Z,"Presage brings to life another expression of Japan’s rich cultural heritage in a series of two automatic watches with dials made of porcelain from Arita, a town which, for over 400 years, has been the home of... https://facebook.com/148011855192/posts/10161795372250193/…",4,39,26
2019-03-22T11:06:31.000Z,"The 1970 Diver's Re-creation Limited Edition.

The 1970 launch model, which boasts strong popularity in its history, will be reinstated. It is resurrected by modern state-of-the-art technology and design... https://facebook.com/148011855192/posts/10161791919775193/…",4,39,24
2019-03-21T15:58:30.000Z,"At Seiko wing in BASELWORLD2019, you can find Prospex new collection, ""LX line.""

The Seiko Prospex LX line. The true spirit of Seiko. Prospex LX. At the pinnacle of sport, on land, at sea and in the sky.

The... https://facebook.com/148011855192/posts/10161788763725193/…",1,39,16
2016-03-10T06:13:04.000Z,"Seiko is now on Instagram!
Follow #Seikowatchofficial on http://instagram.com/seikowatchofficial/… http://fb.me/944deRoYp",,1,3
2016-03-10T05:27:51.000Z,"Can he exceed his limits?
Result of ""Novak Djokovic‘s Timeboard shooting"" coming today, don't miss it!... http://fb.me/4INDcIjUa",,1,
2016-03-09T17:59:09.000Z,"It’s not so easy…

#Seikotimeboardshooting
#NovakDjokovic #SEIKO #Astron http://fb.me/14ckpM6gN",,1,
2016-03-09T10:44:26.000Z,"Around the world in nine shots. Can it be done?
#Seikotimeboardshooting
#NovakDjokovic #SEIKO #Astron http://fb.me/2B30wkQu2",,1,3
2016-03-08T16:30:01.000Z,"“He” is victorious on the international stage.
Who might his next challenger be?

#Djokovic #SEIKO... http://fb.me/37heYdGC1",,1,1
2016-03-08T14:03:19.000Z,"“He”, along with his partner, competes around the globe.
And his next challenge is about to begin…

#Djokovic... http://fb.me/27eFnb0Ok",,1,4
2016-02-29T21:46:18.000Z,:) https://twitter.com/twitter_100266_60549024/status/703622735931514880…,,1,6
2016-02-25T08:00:01.000Z,"Comment from a happy Astron wearer
World famous pianist Hisako Kawamura’s brilliant talent has been applauded by... http://fb.me/48dczUNS6",,1,
2016-02-23T10:32:01.000Z,"News about the Seiko watch.
https://goo.gl/ULtRIc http://fb.me/7EFnRQxq8",1,1,11
2016-02-23T10:27:50.000Z,"News about the Seiko watch.
https://goo.gl/ULtRIc http://fb.me/3Z97RW6cW",,1,1
2016-02-23T10:25:55.000Z,"News on the Seiko watch!
https://goo.gl/ULtRIc http://fb.me/4TfpuJe22",,1,5
2016-02-20T10:40:49.000Z,"Astron GPS Solar 8X Series Dual-Time. Luxurious leather strap model.

Ref. SSE061: http://seiko-astron.com/8x_dual-time/",3,1,3
2016-02-12T07:46:59.000Z,"New Astron GPS Solar 8X Series Dual-Time are added to the collection this Spring.
The bracelets are composed of... http://fb.me/2sDvBUWtr",,1,2
2015-12-06T21:28:42.000Z,"Thanks to 
@seikowatches
 for awarding winners of #DVSkiFest with amazing watches!!",1,5,14
2016-01-08T22:56:55.000Z,"It's a gray suit kind of day. 
@seikowatches
 Lord Marvel #seiko #vintage #Lordmarvel",1,5,8
2016-01-09T23:33:05.000Z,"Hummm, does wearing a 
@seikowatches
 Monster in the snow make it a Yeti?",1,5,14
2016-01-14T04:02:13.000Z,"Do you recognize him?
@seikowatches
 shows 
@DjokerNole
 with a majestic domination greeting arrival passengers in HKIA!",,5,6
2016-01-18T14:49:46.000Z,"Hi 
@StuRowls
! Contact your local service center for assistance: http://seikowatches.com/support/customer/index.html…",,5,
2015-11-20T20:54:47.000Z,"Beat the winter chill  with these 5 essential holiday gifts 
@seikowatches",,8,6
2015-12-05T23:00:09.000Z,"“
@DVSKIFEST
: The always fabulous 
@KeltieKnight
 rockin' her 
@seikowatches
 and 
@sorelfootwear
 at #DVSkiFest  ” ",2,8,17
2015-12-06T01:48:55.000Z,"View from the starting gates. Race is tomorrow.Got some practice runs in. #dvskifest 
@waterkeeper
 @deervalleyresort",4,8,13
2015-12-05T20:44:32.000Z,"The always fabulous 
@KeltieKnight
 rockin' her 
@seikowatches
 and 
@sorelfootwear
 at #DVSkiFest ",1,8,4
2015-12-08T02:17:54.000Z,"I get to meet 
@JimmieJohnson
 tmr 
@SouthParkMallNC
 @seikowatches
 I can't contain my excitement I'm thinking I should bring the quarter panel",,8,2
