title,description,published,tag_count,view_count,like_count,comment_count,title_length,reactions,video_id,days,subscribers_count,average_views,growth_rate,average_views_growth
King Seiko SJE089 Promotion video,"King Seiko
Seiko introduces new timepiece inspired by the classic KSK, powered by the slim line Caliber 6L35.",2023-06-13T23:45:25Z,0,1007,68,6,33,74,OYcCs9TTH3I,1,17900,70355,0.0,0.0
King Seiko SJE089 Promotion video,"King Seiko
Seiko introduces new timepiece inspired by the classic KSK, powered by the slim line Caliber 6L35.",2023-06-13T23:45:21Z,0,681,44,2,33,46,XXwL1Wk8_hQ,2,17900,70374,0.0,19.0
Seiko Prospex Speedtimer PV (SFJ001),,2023-06-05T02:53:03Z,0,6400,129,9,36,138,TqgvLwy1t5g,3,17900,69876,0.0,-498.0
＜Seiko Presage＞ Sharp Edged Series SPB417_H,,2023-04-27T03:00:30Z,0,1638,55,3,43,58,haD0q7T24M8,4,17900,69905,0.0,29.0
＜Seiko Presage＞ Sharp Edged Series SPB415_H,,2023-04-27T03:00:21Z,0,852,26,0,43,26,cg6tNn0XDKk,5,17900,69917,0.0,12.0
＜Seiko Presage＞ Sharp Edged Series SPB417_V,,2023-04-27T03:00:03Z,0,2372,80,0,43,80,4EXlzXhUts8,6,17900,69928,0.0,11.0
＜Seiko Presage＞ Sharp Edged Series SPB415_V,,2023-04-27T03:00:01Z,0,1424,53,0,43,53,aoxPqzirYhM,7,17900,69944,0.0,16.0
＜Seiko Presage＞2023 Arita porcelain production process (spb397),,2023-04-21T06:58:22Z,0,929,33,0,63,33,QYMjHLBa1Dc,8,18000,69960,0.5586592178770949,16.0
＜Seiko Presage＞2023 Urushi lacquer production process (spb395),,2023-04-21T06:50:20Z,0,982,42,1,62,43,w-ojGwkEN3M,9,18000,69971,0.0,11.0
＜Seiko Presage＞2023 Enamel production process (spb393),,2023-04-21T06:42:29Z,0,982,47,2,54,49,GlLn70cMvc4,10,18000,69984,0.0,13.0
