TimeStamps,Tweets,Replies,reTweets,Likes
2023-06-10T17:55:32.000Z,A watch as bold as your spirit: Seastar 1000 40mm.,6,14,143
2023-05-29T14:00:00.000Z,"In the new Chemin des Tourelles family, duality is hard-wired into every carefully crafted detail. It’s time to commit.
#Tissot #watch #CheminDesTourelles #swisswatch #switzerland   #breakingnewpaths",1,14,71
2023-05-19T14:53:44.000Z,"It’s chic, it’s bold, and it’s ready for any adventure you could possibly think of: The new Tissot Seastar 40mm. 
#Tissot #Seastar #TimeToSea",5,14,129
2023-04-05T14:31:30.000Z,"An icon of Swiss watchmaking heritage takes its place in the spotlight: Get ready for the new Chemin des Tourelles.
#Tissot #watch #CheminDesTourelles #swisswatch #switzerland #breakingnewpaths",2,15,159
2023-04-03T14:04:20.000Z,"The new Chemin des Tourelles is both a promise of a lifetime of performance and a thrilling invitation to a world of refinement.
#Tissot #watch #CheminDesTourelles #swisswatch #switzerland   #breakingnewpaths",,15,67
2023-03-23T15:47:54.000Z,#TimingEmotions,,15,5
2023-03-22T15:25:32.000Z,"A soft-sunray dial with simple, elegant baton hour markers, each faceted to catch the light in an understated but sophisticated way, now that’s Swiss craftsmanship.  Discover the new Chemin des Tourelles.
#Tissot #watch #swiss #swisswatch #switzerland #breakingnewpaths",2,15,60
2023-03-20T15:00:00.000Z,"Named after the street that leads to Tissot's home in the Swiss mountains, it’s a true pleasure to wear the new Chemin des Tourelles on your wrist. 
#Tissot #watch #swiss #swisswatch #switzerland #breakingnewpaths",,15,27
2023-03-17T15:01:14.000Z,"If we were to ask you to close your eyes and think of the archetypal Swiss watch, you would see the Chemin des Tourelles.  Discover the updated and refined version of this Tissot icon.
#Tissot #watch #swiss #swisswatch #switzerland #breakingnewpaths",3,15,128
2022-08-24T09:30:00.000Z,"The 
@TISSOT
 countdown is on for Day  of the 2022 UCI Mountain Bike World Championships!

One hour countdown until the XC Team Relay starts at 12:30 CEST.

#LesGets2022",2,26,68
2022-08-19T07:00:08.000Z,"Get set! The Vuelta starts today in Utrecht with a TTT. Great vibes guaranteed! If you’re a cycling fan, this is your chance to watch every stage in style with the new TISSOT T-RACE CYCLING LA VUELTA 2022. https://fcld.ly/zhvc4ic",2,26,36
2022-07-14T07:00:04.000Z,"Today is L'Etape Reine of the #TDF2022. Hard work, limitless determination and above all, believing in yourself are essential to succeeding on this exact replica of the 1986 road. Tissot wishes strength and courage to its ambassador, Primoz Roglic! 
@LeTour
 @rogla",5,26,27
2022-07-13T19:00:05.000Z,"Only one day left to participate in the Tissot Strava #TDF2022 Serie!  Ride a minimum of 150 minutes to get a chance of winning a T-Race Cycling Tour de France! >> https://fcld.ly/tdfstrava2022   
@LeTour
 
@rogla
#TimingEmotions 
#OfficialTimekeeper",2,26,37
2022-07-08T07:00:05.000Z,"It's time to sign up for a new #Tissot Strava Challenge! Take our 
@Strava
 Tour de France Challenge between July 8 and July 14 to get a chance to win a T-Race Cycling Tour de France >> https://fcld.ly/tdfstrava2022   
@LeTour
 
#TDF2022
#TimingEmotions 
#OfficialTimekeeper",4,26,40
2022-04-28T13:00:08.000Z,"The new collection of interchangeable bracelets is the perfect blend of contemporary style, trend and performance, making you stand out with effortless class, from day to night and never get tired of your watch. Discover now. https://fcld.ly/u5ce08s #TissotSeastar #TimeToSea",3,5,38
2022-04-26T13:00:08.000Z,"Whether you’re taking a dip or exploring the ocean’s depths, the Tissot Seastar 2000 Professional Powermatic has you covered with superior safety and reliability. Featuring ISO 6425 certified diving features. https://fcld.ly/6g49cl9 

#TissotSeastar #TimeToSea",5,5,108
