id,created_at,text,cleaned
1673601581042769921,2023-06-27 07:58:05+00:00,"@trentmayne7 Dear @trentmayne7, thank you for reaching out. In order to help you in the mose effective way, may I p… https://t.co/JO7aBZ2m7S", dear  thank you for reaching out in order to help you in the mose effective way may i p… 
1673237554886332416,2023-06-26 07:51:34+00:00,"@abdullahyhasani Hi @abdullahyhasani, may I please ask if you have an order number so I can investigate why you did… https://t.co/sZdpvS4VCj",abdullahyhasani hi abdullahyhasani may i please ask if you have an order number so i can investigate why you did… 
1668969816051392512,2023-06-14 13:13:06+00:00,"@masquee_li24796 Hi masquee_li24796,
We are always working on improvement for the T-Touch Connect but we unfortunat… https://t.co/2cmhUZtRv0"," hi 
we are always working on improvement for the ttouch connect but we unfortunat… "
1668132521874276352,2023-06-12 05:46:00+00:00,"@IndBloodDonors Indeed, that is why we changed the technology used for the digital display",indblooddonors indeed that is why we changed the technology used for the digital display
1667591338253221888,2023-06-10 17:55:32+00:00,A watch as bold as your spirit: Seastar 1000 40mm. https://t.co/BYUTPvVG3l,a watch as bold as your spirit seastar   
1667102258964643840,2023-06-09 09:32:06+00:00,"@ResulDurmus38 HI Resul, my apologies for the late reply. I have seen that you received an answer from our customer… https://t.co/6YglziSAK2", hi resul my apologies for the late reply i have seen that you received an answer from our customer… 
1666079733996748806,2023-06-06 13:48:57+00:00,@ResulDurmus38 @ResulDurmus38 E-postanızı takiben bir talep numarası aldınız mı?,  epostanızı takiben bir talep numarası aldınız mı
1664628929204822020,2023-06-02 13:43:58+00:00,"@gaurav999x @nihardesai7 Dear @gaurav999x, thank you for reaching out. In order to help you in the mose effective w… https://t.co/QOGNx2OM4m",  dear  thank you for reaching out in order to help you in the mose effective w… 
1664556124555575303,2023-06-02 08:54:40+00:00,"@ShalinGiri @nihardesai7 Hi @ShalinGiri,
In order to help you in the most effective way, we suggest you to contact… https://t.co/RVMK9yHzyr","shalingiri  hi shalingiri
in order to help you in the most effective way we suggest you to contact… "
1664530139621761024,2023-06-02 07:11:25+00:00,"@ResulDurmus38 Merhaba @ResulDurmus38, 
Mesajınız için teşekkür ederiz.
Size en etkin şekilde yardımcı olabilmemiz… https://t.co/2Cgn4sMJfK"," merhaba  
mesajınız için teşekkür ederiz
size en etkin şekilde yardımcı olabilmemiz… "
1663785674087051266,2023-05-31 05:53:11+00:00,"@KeithHodder Hi Keith,
Thank you for reaching out.
May I please ask you to confirm your country of residence? That… https://t.co/ps7EJtQ4W2","keithhodder hi keith
thank you for reaching out
may i please ask you to confirm your country of residence that… "
1663563160425762818,2023-05-30 15:08:59+00:00,"@g_dann Dear Dann, you can find related videos on the link: https://t.co/j4SbjuW63d thanks! Tissot team",gdann dear dann you can find related videos on the link  thanks tissot team
1663506366625923078,2023-05-30 11:23:18+00:00,"@NVR1984 @Matheytissotin Hi NVR1984,
Thank you for reaching out.
In order to help you in the best way possible, may… https://t.co/cixzEhFUm2"," matheytissotin hi 
thank you for reaching out
in order to help you in the best way possible may… "
1663183413900353536,2023-05-29 14:00:00+00:00,"In the new Chemin des Tourelles family, duality is hard-wired into every carefully crafted detail. It’s time to com… https://t.co/SwZDMW2O3v",in the new chemin des tourelles family duality is hardwired into every carefully crafted detail it’s time to com… 
1662022274973589507,2023-05-26 09:06:03+00:00,"@Jim_Millar Dear @Jim_Millar, thank you for reaching out. In order to help you in the mose effective way, may I ple… https://t.co/VOnD0z3Kcb",jimmillar dear jimmillar thank you for reaching out in order to help you in the mose effective way may i ple… 
1661038287954358272,2023-05-23 15:56:03+00:00,"@INHUMANBATMAN Hi @INHUMANBATMAN,
In order to help you in the most effective way, we suggest you to contact our cus… https://t.co/B5mvb2DQ98","inhumanbatman hi inhumanbatman
in order to help you in the most effective way we suggest you to contact our cus… "
1659613864089010198,2023-05-19 17:35:53+00:00,"@morelifeteo Dear morelifeteo, yes if you do that yourself it will void warranty. Also note that it might affect th… https://t.co/2j1qj8CV0C",morelifeteo dear morelifeteo yes if you do that yourself it will void warranty also note that it might affect th… 
1659573055914496002,2023-05-19 14:53:44+00:00,"It’s chic, it’s bold, and it’s ready for any adventure you could possibly think of: The new Tissot Seastar 40mm.… https://t.co/MEYfAwQvl6",it’s chic it’s bold and it’s ready for any adventure you could possibly think of the new tissot seastar … 
