title,description,published,tag_count,view_count,like_count,comment_count,title_length,reactions,video_id,days,subscribers_count,average_views,growth_rate,average_views_growth
Tissot PRX Powermatic 80,,2023-05-22T13:29:55Z,0,1629168,123,10,24,133,4w3WOzB4Iz4,1,45500,364732,0.0,0.0
Tissot Sports Campaign ft. Brand Ambassador and Professional Cyclist Primož Roglič,"Success isn't about winning, it's about getting back up after you fall. Olympic champion Primož Roglič reminds us to keep pushing towards our dreams.",2023-05-06T08:00:08Z,0,679,12,0,82,12,y0zXSownIYo,2,45500,366558,0.0,1826.0
Tissot Seastar 1000 40mm Quartz - 15s,,2023-05-02T10:13:30Z,0,12983105,94,11,37,105,OcnGu_UDRto,3,45500,368826,0.0,2268.0
Tissot Seastar 1000 40mm Quartz - 40s,,2023-05-02T10:13:25Z,0,322489,148,8,37,156,ED1OYklF7KQ,4,45600,369386,0.21978021978021978,560.0
Tissot Sports Manifesto,,2023-04-09T06:00:11Z,0,686,29,2,23,31,gOumMw2kY5o,5,45600,369900,0.0,514.0
Tissot Sports Campaign ft. Brand Ambassador and MotoGP™ Racer Enea Bastianini,,2023-04-05T11:27:30Z,0,983,10,0,77,10,4-ZlaNTTM0I,6,45600,370404,0.0,504.0
Tissot Sports Campaign ft. Brand Ambassador and 7x All-Star Damian Lillard,"As the basketball world comes together for the 2023 NBA All-Star Game, Tissot is once again teaming up with ambassador and 7x All-Star Damian Lillard for its latest sports campaign.

Nicknamed “Dame Time” for his clutch performances, Lillard embodies the passion and devotion that drives our brand. Watch how he tells his story of hard work and commitment to pushing the limits of the game. No shortcuts taken, only winning habits fueling his whole career.

Tissot shares all these values, knowing that the route to success only comes with an unmatched level of dedication. Because no matter the goal, your time defines your greatness.",2023-04-05T11:23:01Z,0,986,13,0,74,13,Ldp_JK91u_8,7,45600,370952,0.0,548.0
Tissot T-Touch Connect Solar - Functions ACTIVITY - KO,,2023-03-21T08:42:31Z,0,1130,10,0,54,10,5060eQ4RWvE,8,45600,371457,0.0,505.0
Tissot T-Touch Connect Solar - Functions T-TOUCH - KO,,2023-03-20T15:28:04Z,0,485,5,0,53,5,7K2QFzqmdxc,9,45600,371932,0.0,475.0
Tissot T-Touch Connect Solar - Functions TIMING - KO,,2023-03-20T15:26:45Z,0,232,3,0,52,3,WPgVMOW6oq8,10,45600,372430,0.0,498.0
