created_at,id,content,like_count,retweet_count
2023-06-27 07:58:05+00:00,1673601581042769921,"@trentmayne7 Dear @trentmayne7, thank you for reaching out. In order to help you in the mose effective way, may I please ask you to contact our customer service team : customer.service@tissot.ch? Thank you in advance. Best regards, Tissot team",0,0
2023-06-26 07:51:34+00:00,1673237554886332416,"@abdullahyhasani Hi @abdullahyhasani, may I please ask if you have an order number so I can investigate why you didn't receive an answer ? Thank you in advance. Tissot team",0,0
2023-06-14 13:13:06+00:00,1668969816051392512,"@masquee_li24796 Hi masquee_li24796,
We are always working on improvement for the T-Touch Connect but we unfortunately don't have any information yet about new features for the future.
Have a nice day,
Tissot team",0,0
2023-06-12 05:46:00+00:00,1668132521874276352,"@IndBloodDonors Indeed, that is why we changed the technology used for the digital display",0,1
2023-06-10 17:55:32+00:00,1667591338253221888,A watch as bold as your spirit: Seastar 1000 40mm. https://t.co/BYUTPvVG3l,143,12
2023-06-09 09:32:06+00:00,1667102258964643840,"@ResulDurmus38 HI Resul, my apologies for the late reply. I have seen that you received an answer from our customer service yesterday. If you have any other question please don't hesitate to contact them again if you need anything else, they will be happy to help. Have a nice day, Tissot team",0,0
2023-06-06 13:48:57+00:00,1666079733996748806,@ResulDurmus38 @ResulDurmus38 E-postanızı takiben bir talep numarası aldınız mı?,0,0
2023-06-02 13:43:58+00:00,1664628929204822020,"@gaurav999x @nihardesai7 Dear @gaurav999x, thank you for reaching out. In order to help you in the mose effective way, may I please ask you to contact our customer service team : customer.service@tissot.ch? Thank you in advance. Best regards, Tissot team",0,0
2023-06-02 08:54:40+00:00,1664556124555575303,"@ShalinGiri @nihardesai7 Hi @ShalinGiri,
In order to help you in the most effective way, we suggest you to contact our customer service in Switzerland: customer.service@tissot.ch.
Best regards,
Your Tissot Team",1,0
2023-06-02 07:11:25+00:00,1664530139621761024,"@ResulDurmus38 Merhaba @ResulDurmus38, 
Mesajınız için teşekkür ederiz.
Size en etkin şekilde yardımcı olabilmemiz için müşteri hizmetlerimizle iletişime geçmenizi öneririz : customer.service@tissot.ch.
Saygılarımla, 
Tissot team",0,0
2023-05-31 05:53:11+00:00,1663785674087051266,"@KeithHodder Hi Keith,
Thank you for reaching out.
May I please ask you to confirm your country of residence? That way we will be able to forward your request to the right person.
Thank you in advance.
Have a nice day,
Tissot team",0,0
2023-05-30 15:08:59+00:00,1663563160425762818,"@g_dann Dear Dann, you can find related videos on the link: https://t.co/j4SbjuW63d thanks! Tissot team",0,0
2023-05-30 11:23:18+00:00,1663506366625923078,"@NVR1984 @Matheytissotin Hi NVR1984,
Thank you for reaching out.
In order to help you in the best way possible, may I please ask you to contact our customer service team directly : customer.service@tissot.ch
We stay at your disposal should you have further questions.
Have a nice day,
Tissot team",1,0
2023-05-29 14:00:00+00:00,1663183413900353536,"In the new Chemin des Tourelles family, duality is hard-wired into every carefully crafted detail. It’s time to commit.
#Tissot #watch #CheminDesTourelles #swisswatch #switzerland   #breakingnewpaths https://t.co/mZQy33ig9L",71,4
2023-05-26 09:06:03+00:00,1662022274973589507,"@Jim_Millar Dear @Jim_Millar, thank you for reaching out. In order to help you in the mose effective way, may I please ask you to contact our customer service team : customer.service@tissot.ch? Thank you in advance. Best regards, Tissot team",0,0
2023-05-23 15:56:03+00:00,1661038287954358272,"@INHUMANBATMAN Hi @INHUMANBATMAN,
In order to help you in the most effective way, we suggest you to contact our customer service in Switzerland: customer.service@tissot.ch.
Best regards,
Your Tissot Team",0,0
2023-05-19 17:35:53+00:00,1659613864089010198,"@morelifeteo Dear morelifeteo, yes if you do that yourself it will void warranty. Also note that it might affect the waterproofness of the watch - this will show if you go on any official diagnosis. Let us know if you need further support. Thanks, Tissot team.",2,0
2023-05-19 14:53:44+00:00,1659573055914496002,"It’s chic, it’s bold, and it’s ready for any adventure you could possibly think of: The new Tissot Seastar 40mm. 
#Tissot #Seastar #TimeToSea https://t.co/7RGuROteKf",128,8
2023-05-16 14:00:00+00:00,1658472370900967425,"Made to stand out, by land or sea. Just like you. The Tissot Seastar 40mm, a new expression of watchmaking excellence.
#Tissot #Seastar #TimeToSea https://t.co/UUbTIep1pR",99,10
2023-05-15 07:13:54+00:00,1658007781780213761,"@khaledDoukmak2 Dear @khaledDoukmak2, thank you for your interest in Tissot. For any information about price and availability, please use the following link : https://t.co/2BRCQPE4jn. Have a nice day, Tissot team",0,0
2023-05-13 14:00:02+00:00,1657385213016653826,"The Tissot Seastar 40mm beautifully communicates style, versatility and performance you can count on, anywhere and any time.
#Tissot #Seastar #TimeToSea https://t.co/hMgz7bM8Ul",120,17
2023-05-12 08:23:13+00:00,1656938061790425088,"@ijanvaidya Hi ijanvaidya, you received an answer to your email from our customer service yesterday evening. If you wishes someone to call you we can ask them to reach out but we will let the customer service in charge of your request. Have a nice day, Tissot team",0,0
2023-05-11 08:56:24+00:00,1656584026914734080,"@ijanvaidya Hi ijanvaidya, thank you for the number. We have reached out to the person in charge in order for you to receive an answer ASAP. If you need anything else please don't hesitate. Have a nice day, Tissot team",0,0
2023-05-11 07:40:18+00:00,1656564877073215488,"@ijanvaidya Hi ijanvaidya, thank you for your message. May I please ask you for the ticket number from the automatic reply you received ? This way we will be able to reach out directly to the person responsible in order to give you an answer. Thank you in advance. Tissot team",0,0
2023-05-09 10:09:50+00:00,1655877730947289091,"@EFFILZAGIN @baldassarreted Hello @EFFILZAGIN, we are very appreciative of your comment and thank you for it.
It is with great pleasure that we are reading you are happy with our products and we thank you very much for your confidence in our brand 😃 Your Tissot team",1,1
2023-05-09 09:45:08+00:00,1655871515311714309,"@ijanvaidya Dear @ijanvaidya, thank you for reaching out. In order to help you in the mose effective way, may I please ask you to contact our customer service team : customer.service@tissot.ch? Thank you in advance. Best regards, Tissot team",0,0
2023-05-08 14:00:02+00:00,1655573274057646083,"Celebrate the unconditional love of a mother with a Tissot watch.
#Tissot #TheGiftofTime #TimelessLove https://t.co/o32YkGVhfc",33,4
2023-05-08 07:29:14+00:00,1655474925073842176,"@matula248 Hi matula248, thank you for your message. It is currently not possible to see the results of the Giro on the watch or the app but your message has been forwarded to our developpment team. Have a nice day, Tissot team",0,0
2023-05-06 10:00:01+00:00,1654788097585078273,"Success   isn't about winning, it's about getting back up after you fall. Olympic   champion Primož Roglič reminds us to keep pushing towards our dreams.
#Tissot #OfficialTimekeeper #TimingEmotions https://t.co/ix3SYyH5Mn",93,12
